analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,0.0,0.0,0.0,guard,0.0,homa_messages_tracked,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_resends_received,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_resends_sent,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,homa_retransmit_packets,5,2.7764451051977987,AliStorage30
arm_mean,10.440319657442494,22.240319657442495,1.3596803425575068,guard,11.8,hpcc_actual_rate_changes,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,hpcc_fast_computations,5,2.7764451051977987,AliStorage30
arm_mean,189.0989453782027,1129.8989453782026,751.7010546217973,guard,940.8,hpcc_feedback_updates,5,2.7764451051977987,AliStorage30
arm_mean,63.53511083721433,270.9351108372143,143.8648891627857,guard,207.4,hpcc_full_computations,5,2.7764451051977987,AliStorage30
arm_mean,63.53511083721433,270.9351108372143,143.8648891627857,guard,207.4,hpcc_rate_updates_applied,5,2.7764451051977987,AliStorage30
arm_mean,67.41903934358852,306.6190393435885,171.78096065641148,guard,239.2,hpcc_valid_feedback,5,2.7764451051977987,AliStorage30
arm_mean,2596.6652935613206,22380.66529356132,17187.33470643868,guard,19784.0,int_hops_after_strip,5,2.7764451051977987,AliStorage30
arm_mean,4357.18503839803,42163.385038398024,33449.01496160197,guard,37806.2,int_hops_before_strip,5,2.7764451051977987,AliStorage30
arm_mean,1819.2571330316061,19841.457133031607,16202.942866968395,guard,18022.2,int_records_stripped,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,irn_nacks_generated,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,irn_nacks_received,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,irn_retransmit_bytes,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,irn_retransmit_packets,5,2.7764451051977987,AliStorage30
arm_mean,0.013053070452738992,6.980081505798046,6.953975364892568,guard,6.967028435345307,le_8KB_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.023030373663301837,9.0591903736633,9.013129626336697,guard,9.036159999999999,le_8KB_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.042180199231990234,9.27908419923199,9.194723800768008,guard,9.236904,le_8KB_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,73.28237382299852,2610.6823738229987,2464.1176261770015,guard,2537.4,le_8KB_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.000447858310141738,1.0064697413279526,1.0055740247076692,guard,1.006021883017811,le_8KB_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.001015080398189244,1.02725085843117,1.0252206976347915,guard,1.0262357780329807,le_8KB_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.00222145881282554,1.065218135728808,1.060775218103157,guard,1.0629966769159824,le_8KB_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.17216835855463827,1.640837369008117,1.2965006518988405,guard,1.4686690104534788,long_to_small_slowdown_mean_ratio,5,2.7764451051977987,AliStorage30
arm_mean,0.6800873806582569,4.080087380658257,2.719912619341743,guard,3.4,max_active_flows,5,2.7764451051977987,AliStorage30
arm_mean,466050.0727117962,1028391.0727117963,96290.92728820379,guard,562341.0,output_bytes,5,2.7764451051977987,AliStorage30
arm_mean,0.528663440779606,11.697466545886941,10.640139664327728,guard,11.168803105107335,overall_fct_us_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.7720236679386161,16.431633667938613,14.88758633206138,guard,15.659609999999995,overall_fct_us_p95,5,2.7764451051977987,AliStorage30
arm_mean,12.757175250356543,158.34302325035662,132.82867274964354,guard,145.58584800000008,overall_fct_us_p99,5,2.7764451051977987,AliStorage30
arm_mean,90.4328704077637,3733.432870407764,3552.567129592236,guard,3643.0,overall_flow_count,5,2.7764451051977987,AliStorage30
arm_mean,0.0024908119527799924,1.0266177035619597,1.0216360796563997,guard,1.0241268916091797,overall_slowdown_mean,5,2.7764451051977987,AliStorage30
arm_mean,0.006332676088073282,1.1033409870348503,1.0906756348587037,guard,1.097008310946777,overall_slowdown_p95,5,2.7764451051977987,AliStorage30
arm_mean,0.06247249234723824,1.4569477313024541,1.3320027466079778,guard,1.394475238955216,overall_slowdown_p99,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_cumulative_pause_ns,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_matched_intervals,5,2.7764451051977987,AliStorage30
arm_mean,0.0,0.0,0.0,guard,0.0,pfc_max_pause_ns,5,2.7764451051977987,AliStorage30
