workload,seed,arm,metric,value
AliStorage2019,11,no_reclaim,guard_one_rtt_bypass_enabled,1.0
AliStorage2019,11,no_reclaim,guard_one_rtt_bypass_feedbacks,9130.0
AliStorage2019,11,no_reclaim,guard_one_rtt_bypass_flows,9130.0
AliStorage2019,11,no_reclaim,guard_rebalance_events,0.0
AliStorage2019,11,no_reclaim,guard_remaining_aware,1.0
AliStorage2019,11,no_reclaim,guard_remaining_exponent,1.0
AliStorage2019,11,no_reclaim,guard_remaining_refresh_events,3942.0
AliStorage2019,11,no_reclaim,guard_sender_srpt_enabled,1.0
AliStorage2019,11,no_reclaim,guard_sender_srpt_forced_rr,76.0
AliStorage2019,11,no_reclaim,guard_sender_srpt_non_rr,28646.0
AliStorage2019,11,no_reclaim,guard_sender_srpt_selections,435617.0
AliStorage2019,11,no_reclaim,guard_srpt_quantum_packets,64.0
AliStorage2019,11,no_reclaim,guard_tail_bypass_bdps,8.0
AliStorage2019,11,no_reclaim,guard_tail_bypass_enabled,1.0
AliStorage2019,11,no_reclaim,guard_tail_bypass_feedbacks,24903.0
AliStorage2019,11,no_reclaim,guard_tail_bypass_flows,593.0
AliStorage2019,11,no_reclaim,hpcc_actual_rate_changes,201.0
AliStorage2019,11,no_reclaim,hpcc_fast_computations,0.0
AliStorage2019,11,no_reclaim,hpcc_feedback_updates,2837.0
AliStorage2019,11,no_reclaim,hpcc_full_computations,690.0
AliStorage2019,11,no_reclaim,hpcc_rate_updates_applied,690.0
AliStorage2019,11,no_reclaim,hpcc_valid_feedback,795.0
AliStorage2019,11,no_reclaim,int_hops_after_strip,58126.0
AliStorage2019,11,no_reclaim,int_hops_before_strip,110864.0
AliStorage2019,11,no_reclaim,int_records_stripped,52738.0
AliStorage2019,11,no_reclaim,irn_nacks_generated,0.0
AliStorage2019,11,no_reclaim,irn_nacks_received,0.0
AliStorage2019,11,no_reclaim,irn_retransmit_bytes,0.0
AliStorage2019,11,no_reclaim,irn_retransmit_packets,0.0
AliStorage2019,11,no_reclaim,le_8KB_fct_us_mean,6.823093071973664
AliStorage2019,11,no_reclaim,le_8KB_fct_us_p95,9.122
AliStorage2019,11,no_reclaim,le_8KB_fct_us_p99,9.38936
AliStorage2019,11,no_reclaim,le_8KB_flow_count,6683.0
AliStorage2019,11,no_reclaim,le_8KB_slowdown_mean,1.0085736859947303
AliStorage2019,11,no_reclaim,le_8KB_slowdown_p95,1.0310817754297998
AliStorage2019,11,no_reclaim,le_8KB_slowdown_p99,1.066878080388945
AliStorage2019,11,no_reclaim,long_to_small_slowdown_mean_ratio,1.7472973596068457
AliStorage2019,11,no_reclaim,max_active_flows,4.0
AliStorage2019,11,no_reclaim,overall_fct_us_mean,12.319002571222873
AliStorage2019,11,no_reclaim,overall_fct_us_p95,15.606999999999992
AliStorage2019,11,no_reclaim,overall_fct_us_p99,176.29850000000062
AliStorage2019,11,no_reclaim,overall_flow_count,9723.0
AliStorage2019,11,no_reclaim,overall_slowdown_mean,1.0345133393122348
AliStorage2019,11,no_reclaim,overall_slowdown_p95,1.1090224794152816
AliStorage2019,11,no_reclaim,overall_slowdown_p99,1.6076772767248442
AliStorage2019,11,no_reclaim,pfc_pause_events,0.0
AliStorage2019,11,no_reclaim,pfc_resume_events,0.0
AliStorage2019,11,no_reclaim,proactive_releases,593.0
AliStorage2019,11,no_reclaim,queue_bytes_max,432730.0
AliStorage2019,11,no_reclaim,queue_bytes_mean,3216.235
AliStorage2019,11,no_reclaim,queue_bytes_p95,1090.0
AliStorage2019,11,no_reclaim,queue_bytes_p99,117720.0
AliStorage2019,11,no_reclaim,queue_sample_count,400020.0
AliStorage2019,11,no_reclaim,reactive_binding_rate_changes,186.0
AliStorage2019,11,no_reclaim,reactive_binding_updates,186.0
AliStorage2019,11,no_reclaim,recovery_nacks_generated,0.0
AliStorage2019,11,no_reclaim,recovery_nacks_received,0.0
AliStorage2019,11,no_reclaim,registrations,593.0
AliStorage2019,11,no_reclaim,selected_registrations,593.0
AliStorage2019,11,no_reclaim,tie_binding_rate_changes,12.0
AliStorage2019,11,no_reclaim,tie_binding_updates,426.0
AliStorage2019,11,no_reclaim,timeout_recoveries,0.0
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_fct_us_mean,49.7002551724138
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_fct_us_p95,148.22205000000002
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_fct_us_p99,287.76377000000014
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_flow_count,290.0
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_slowdown_mean,1.288585579020085
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_slowdown_p95,2.103538485920101
AliStorage2019,11,no_one_rtt,1BDP_to_1MB_slowdown_p99,3.268737622880175
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_fct_us_mean,8.8702989611389
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_fct_us_p95,14.4592
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_fct_us_p99,17.50126
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_flow_count,2599.0
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_slowdown_mean,1.0309115096500336
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_slowdown_p95,1.121282738422072
AliStorage2019,11,no_one_rtt,8KB_to_1BDP_slowdown_p99,1.2919993603278483
AliStorage2019,11,no_one_rtt,aggregate_goodput_gbps,171.8319123637815
AliStorage2019,11,no_one_rtt,completion_releases,0.0
